file_name,character,order,top_left,bottom_right
CMC_CCM_2018_01_30_23_57_49_55860710841.png,5,1,"(817.0, 770.0)","(872.0, 805.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,5,2,"(816.0, 733.0)","(871.0, 769.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,8,3,"(818.0, 700.0)","(869.0, 733.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,6,4,"(820.0, 674.0)","(870.0, 703.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,0,5,"(815.0, 643.0)","(869.0, 673.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,7,6,"(813.0, 598.0)","(868.0, 638.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,1,7,"(810.0, 543.0)","(865.0, 571.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,0,8,"(808.0, 501.0)","(865.0, 538.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,8,9,"(812.0, 469.0)","(865.0, 497.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,4,10,"(813.0, 440.0)","(864.0, 468.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,1,11,"(808.0, 400.0)","(862.0, 436.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,5,1,"(837.0, 771.0)","(887.0, 812.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,5,2,"(835.0, 736.0)","(889.0, 770.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,8,3,"(837.0, 706.0)","(893.0, 735.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,6,4,"(833.0, 674.0)","(887.0, 708.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,0,5,"(837.0, 644.0)","(891.0, 679.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,7,6,"(831.0, 603.0)","(892.0, 644.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,4,7,"(838.0, 546.0)","(889.0, 576.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,0,8,"(834.0, 510.0)","(893.0, 543.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,7,9,"(834.0, 470.0)","(887.0, 508.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,1,10,"(834.0, 446.0)","(887.0, 470.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,2,11,"(834.0, 403.0)","(892.0, 441.0)"
CMC_CCM_2018_01_30_23_47_17_5586074050X.png,5,1,"(841.0, 786.0)","(890.0, 819.0)"
