file_name,character,order,top_left,bottom_right
CMC_CCM_2018_01_30_23_57_49_55860710841.png,5,1,"(1405.0, 1324.0)","(1495.0, 1383.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,5,2,"(1406.0, 1268.0)","(1497.0, 1320.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,8,3,"(1406.0, 1205.0)","(1496.0, 1265.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,6,4,"(1403.0, 1152.0)","(1492.0, 1206.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,0,5,"(1401.0, 1101.0)","(1491.0, 1152.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,7,6,"(1395.0, 1028.0)","(1495.0, 1095.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,1,7,"(1428.0, 955.0)","(1526.0, 1013.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,0,8,"(1424.0, 883.0)","(1523.0, 948.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,8,9,"(1432.0, 819.0)","(1520.0, 878.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,4,10,"(1423.0, 768.0)","(1521.0, 823.0)"
CMC_CCM_2018_01_30_23_57_49_55860710841.png,1,11,"(1421.0, 716.0)","(1519.0, 767.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,5,1,"(1587.0, 1472.0)","(1687.0, 1535.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,5,2,"(1587.0, 1404.0)","(1689.0, 1469.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,8,3,"(1594.0, 1344.0)","(1689.0, 1399.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,6,4,"(1591.0, 1284.0)","(1686.0, 1342.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,0,5,"(1595.0, 1229.0)","(1690.0, 1288.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,7,6,"(1586.0, 1148.0)","(1688.0, 1216.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,4,7,"(1588.0, 1035.0)","(1683.0, 1094.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,0,8,"(1757.0, 1069.0)","(1857.0, 1137.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,7,9,"(1750.0, 986.0)","(1853.0, 1066.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,1,10,"(1743.0, 936.0)","(1855.0, 989.0)"
CMC_CCM_2018_01_30_23_54_52_55860740712.png,2,11,"(1744.0, 841.0)","(1868.0, 920.0)"
CMC_CCM_2018_01_30_23_47_17_5586074050X.png,5,1,"(1368.0, 1285.0)","(1458.0, 1335.0)"
CMC_CCM_2018_01_30_23_47_17_5586074050X.png,5,2,"(1370.0, 1235.0)","(1460.0, 1284.0)"
CMC_CCM_2018_01_30_23_47_17_5586074050X.png,8,3,"(1375.0, 1170.0)","(1456.0, 1228.0)"
