file_name,character,order,top_left,bottom_right
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,5,1,"(824.0, 796.0)","(885.0, 833.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,5,2,"(823.0, 759.0)","(884.0, 795.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,8,3,"(823.0, 724.0)","(882.0, 759.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,6,4,"(823.0, 699.0)","(882.0, 729.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,0,5,"(829.0, 670.0)","(881.0, 701.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,8,6,"(828.0, 634.0)","(880.0, 670.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,2,7,"(826.0, 567.0)","(880.0, 607.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,0,8,"(828.0, 529.0)","(878.0, 567.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,9,9,"(825.0, 498.0)","(877.0, 533.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,6,10,"(824.0, 464.0)","(876.0, 503.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,C,11,"(821.0, 425.0)","(877.0, 462.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,5,1,"(819.0, 781.0)","(878.0, 817.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,5,2,"(819.0, 747.0)","(876.0, 784.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,8,3,"(821.0, 711.0)","(875.0, 745.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,6,4,"(821.0, 680.0)","(874.0, 714.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,0,5,"(823.0, 654.0)","(875.0, 685.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,8,6,"(822.0, 619.0)","(876.0, 653.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,5,7,"(820.0, 552.0)","(874.0, 587.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,0,8,"(821.0, 522.0)","(875.0, 556.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,8,9,"(820.0, 490.0)","(877.0, 525.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,3,10,"(822.0, 457.0)","(877.0, 490.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,E,11,"(822.0, 419.0)","(879.0, 459.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,5,1,"(849.0, 774.0)","(906.0, 808.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,5,2,"(850.0, 738.0)","(904.0, 774.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,8,3,"(850.0, 705.0)","(904.0, 736.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,6,4,"(847.0, 675.0)","(904.0, 705.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,0,5,"(845.0, 640.0)","(903.0, 676.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,8,6,"(846.0, 604.0)","(900.0, 640.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,4,7,"(844.0, 543.0)","(900.0, 582.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,1,8,"(839.0, 514.0)","(899.0, 544.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,0,9,"(841.0, 474.0)","(898.0, 510.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,0,10,"(842.0, 446.0)","(898.0, 474.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,5,11,"(838.0, 401.0)","(901.0, 444.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,5,1,"(823.0, 789.0)","(883.0, 826.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,5,2,"(826.0, 757.0)","(883.0, 790.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,8,3,"(827.0, 717.0)","(883.0, 758.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,6,4,"(828.0, 691.0)","(881.0, 725.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,0,5,"(829.0, 659.0)","(880.0, 695.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,8,6,"(830.0, 626.0)","(881.0, 657.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,2,7,"(823.0, 553.0)","(881.0, 597.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,1,8,"(821.0, 521.0)","(883.0, 557.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,0,9,"(823.0, 488.0)","(879.0, 521.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,6,10,"(825.0, 451.0)","(880.0, 487.0)"
CMC_CCM_2018_01_31_00_52_25_5586082106X.png,X,11,"(822.0, 414.0)","(883.0, 453.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,5,1,"(829.0, 766.0)","(883.0, 806.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,5,2,"(828.0, 734.0)","(883.0, 769.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,8,3,"(828.0, 696.0)","(884.0, 734.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,6,4,"(828.0, 668.0)","(881.0, 700.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,0,5,"(829.0, 637.0)","(880.0, 672.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,8,6,"(829.0, 598.0)","(880.0, 632.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,4,7,"(826.0, 539.0)","(880.0, 574.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,0,8,"(823.0, 506.0)","(879.0, 544.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,8,9,"(824.0, 475.0)","(876.0, 506.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,6,10,"(823.0, 432.0)","(876.0, 467.0)"
CMC_CCM_2018_01_31_00_38_00_55860840868.png,8,11,"(823.0, 392.0)","(879.0, 430.0)"
CMC_CCM_2018_01_31_00_54_33_55860810997.png,5,1,"(809.0, 771.0)","(867.0, 806.0)"
