file_name,character,order,top_left,bottom_right
CMC_CCM_2018_01_31_00_08_31_55860840194.png,5,1,"(1502.0, 1376.0)","(1601.0, 1439.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,5,2,"(1497.0, 1317.0)","(1600.0, 1378.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,8,3,"(1495.0, 1256.0)","(1602.0, 1319.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,6,4,"(1494.0, 1198.0)","(1604.0, 1256.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,0,5,"(1493.0, 1153.0)","(1596.0, 1201.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,8,6,"(1492.0, 1064.0)","(1593.0, 1135.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,4,7,"(1483.0, 977.0)","(1594.0, 1033.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,0,8,"(1494.0, 910.0)","(1594.0, 972.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,1,9,"(1496.0, 849.0)","(1590.0, 902.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,9,10,"(1491.0, 781.0)","(1582.0, 843.0)"
CMC_CCM_2018_01_31_00_08_31_55860840194.png,4,11,"(1482.0, 735.0)","(1588.0, 796.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,5,1,"(1750.0, 1566.0)","(1862.0, 1634.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,5,2,"(1748.0, 1495.0)","(1864.0, 1565.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,8,3,"(1744.0, 1420.0)","(1862.0, 1488.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,6,4,"(1742.0, 1360.0)","(1861.0, 1429.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,0,5,"(1746.0, 1295.0)","(1859.0, 1363.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,8,6,"(1742.0, 1213.0)","(1862.0, 1283.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,6,7,"(1746.0, 1083.0)","(1859.0, 1166.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,0,8,"(1745.0, 1021.0)","(1851.0, 1089.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,4,9,"(1740.0, 945.0)","(1850.0, 1009.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,E,10,"(1737.0, 880.0)","(1851.0, 942.0)"
CMC_CCM_2018_01_31_00_21_39_558608604E8.png,8,11,"(1739.0, 818.0)","(1851.0, 883.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,5,1,"(1775.0, 1655.0)","(1895.0, 1724.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,5,2,"(1772.0, 1578.0)","(1892.0, 1653.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,8,3,"(1775.0, 1507.0)","(1895.0, 1577.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,6,4,"(1775.0, 1440.0)","(1895.0, 1508.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,0,5,"(1772.0, 1378.0)","(1892.0, 1448.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,8,6,"(1774.0, 1294.0)","(1894.0, 1374.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,3,7,"(1778.0, 1171.0)","(1892.0, 1245.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,0,8,"(1778.0, 1094.0)","(1885.0, 1170.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,4,9,"(1776.0, 1022.0)","(1886.0, 1090.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,7,10,"(1778.0, 936.0)","(1888.0, 1016.0)"
CMC_CCM_2018_01_31_00_20_40_5586083047X.png,X,11,"(1773.0, 865.0)","(1893.0, 939.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,5,1,"(2171.0, 2034.0)","(2312.0, 2117.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,5,2,"(2166.0, 1938.0)","(2312.0, 2029.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,8,3,"(2170.0, 1849.0)","(2312.0, 1932.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,6,4,"(2169.0, 1770.0)","(2311.0, 1858.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,0,5,"(2171.0, 1694.0)","(2307.0, 1770.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,8,6,"(2164.0, 1587.0)","(2305.0, 1680.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,3,7,"(2161.0, 1425.0)","(2303.0, 1520.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,0,8,"(2166.0, 1334.0)","(2307.0, 1421.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,2,9,"(2160.0, 1224.0)","(2300.0, 1327.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,6,10,"(2168.0, 1139.0)","(2304.0, 1232.0)"
CMC_CCM_2018_01_31_00_12_05_55860830269.png,9,11,"(2164.0, 1054.0)","(2299.0, 1147.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,5,1,"(2415.0, 2204.0)","(2569.0, 2296.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,5,2,"(2411.0, 2109.0)","(2566.0, 2203.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,8,3,"(2413.0, 2002.0)","(2565.0, 2107.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,6,4,"(2409.0, 1917.0)","(2558.0, 2012.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,0,5,"(2405.0, 1840.0)","(2558.0, 1929.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,8,6,"(2399.0, 1741.0)","(2561.0, 1833.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,6,7,"(2394.0, 1540.0)","(2547.0, 1641.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,0,8,"(2393.0, 1453.0)","(2545.0, 1550.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,3,9,"(2393.0, 1340.0)","(2547.0, 1441.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,4,10,"(2384.0, 1253.0)","(2546.0, 1341.0)"
CMC_CCM_2018_01_31_00_17_35_55860860340.png,0,11,"(2385.0, 1164.0)","(2549.0, 1262.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,5,1,"(1692.0, 1580.0)","(1804.0, 1658.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,5,2,"(1688.0, 1511.0)","(1800.0, 1585.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,8,3,"(1684.0, 1435.0)","(1806.0, 1504.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,6,4,"(1690.0, 1373.0)","(1803.0, 1439.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,0,5,"(1686.0, 1319.0)","(1801.0, 1381.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,7,6,"(1679.0, 1226.0)","(1800.0, 1310.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,2,7,"(1690.0, 1097.0)","(1797.0, 1180.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,1,8,"(1681.0, 1027.0)","(1800.0, 1087.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,0,9,"(1683.0, 961.0)","(1798.0, 1024.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,8,10,"(1678.0, 885.0)","(1793.0, 952.0)"
CMC_CCM_2018_01_31_00_03_57_55860721081.png,1,11,"(1676.0, 836.0)","(1791.0, 886.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,5,1,"(1327.0, 1245.0)","(1415.0, 1297.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,5,2,"(1327.0, 1186.0)","(1415.0, 1240.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,8,3,"(1326.0, 1128.0)","(1418.0, 1184.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,6,4,"(1327.0, 1078.0)","(1420.0, 1138.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,0,5,"(1328.0, 1038.0)","(1417.0, 1084.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,8,6,"(1324.0, 969.0)","(1417.0, 1026.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,2,7,"(1326.0, 871.0)","(1416.0, 936.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,0,8,"(1322.0, 818.0)","(1412.0, 869.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,2,9,"(1319.0, 758.0)","(1412.0, 810.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,9,10,"(1314.0, 707.0)","(1409.0, 762.0)"
CMC_CCM_2018_01_31_00_13_16_55860820296.png,6,11,"(1313.0, 661.0)","(1404.0, 722.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,5,1,"(1361.0, 1244.0)","(1451.0, 1301.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,5,2,"(1360.0, 1193.0)","(1449.0, 1244.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,8,3,"(1353.0, 1134.0)","(1443.0, 1185.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,6,4,"(1354.0, 1084.0)","(1442.0, 1141.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,0,5,"(1359.0, 1040.0)","(1442.0, 1092.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,8,6,"(1353.0, 988.0)","(1445.0, 1040.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,3,7,"(1352.0, 880.0)","(1442.0, 932.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,0,8,"(1353.0, 818.0)","(1446.0, 877.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,3,9,"(1349.0, 759.0)","(1440.0, 815.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,0,10,"(1345.0, 708.0)","(1439.0, 767.0)"
CMC_CCM_2018_01_31_00_16_39_55860830304.png,4,11,"(1344.0, 649.0)","(1440.0, 705.0)"
CMC_CCM_2018_01_31_00_19_48_55860840442.png,5,1,"(1367.0, 1243.0)","(1459.0, 1298.0)"
CMC_CCM_2018_01_31_00_19_48_55860840442.png,5,2,"(1364.0, 1192.0)","(1455.0, 1242.0)"
CMC_CCM_2018_01_31_00_19_48_55860840442.png,8,3,"(1364.0, 1133.0)","(1456.0, 1186.0)"
CMC_CCM_2018_01_31_00_19_48_55860840442.png,6,4,"(1368.0, 1081.0)","(1451.0, 1136.0)"
CMC_CCM_2018_01_31_00_19_48_55860840442.png,0,5,"(1366.0, 1039.0)","(1456.0, 1094.0)"
