file_name,character,order,top_left,bottom_right
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,5,1,"(1210.0, 1169.0)","(1299.0, 1228.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,5,2,"(1207.0, 1113.0)","(1300.0, 1168.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,8,3,"(1206.0, 1064.0)","(1298.0, 1116.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,6,4,"(1202.0, 1021.0)","(1299.0, 1070.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,0,5,"(1204.0, 980.0)","(1296.0, 1033.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,8,6,"(1204.0, 931.0)","(1294.0, 982.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,2,7,"(1204.0, 828.0)","(1300.0, 893.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,0,8,"(1203.0, 778.0)","(1297.0, 831.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,9,9,"(1202.0, 733.0)","(1294.0, 784.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,6,10,"(1198.0, 685.0)","(1290.0, 738.0)"
CMC_CCM_2018_01_31_00_50_41_5586082096C.png,C,11,"(1538.0, 801.0)","(1656.0, 871.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,5,1,"(1762.0, 1687.0)","(1894.0, 1761.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,5,2,"(1758.0, 1611.0)","(1898.0, 1689.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,8,3,"(1762.0, 1531.0)","(1893.0, 1607.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,6,4,"(1762.0, 1465.0)","(1886.0, 1535.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,0,5,"(1762.0, 1409.0)","(1880.0, 1474.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,8,6,"(1761.0, 1336.0)","(1880.0, 1404.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,5,7,"(1759.0, 1188.0)","(1879.0, 1261.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,0,8,"(1761.0, 1126.0)","(1879.0, 1188.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,8,9,"(1761.0, 1060.0)","(1877.0, 1125.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,3,10,"(2064.0, 1161.0)","(2213.0, 1240.0)"
CMC_CCM_2018_01_31_00_51_05_5586085083E.png,E,11,"(2072.0, 1066.0)","(2216.0, 1155.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,5,1,"(983.0, 899.0)","(1059.0, 941.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,5,2,"(981.0, 852.0)","(1057.0, 899.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,8,3,"(984.0, 816.0)","(1052.0, 857.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,6,4,"(982.0, 781.0)","(1049.0, 820.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,0,5,"(982.0, 739.0)","(1051.0, 784.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,8,6,"(981.0, 700.0)","(1049.0, 743.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,4,7,"(974.0, 626.0)","(1048.0, 677.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,1,8,"(971.0, 586.0)","(1049.0, 628.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,0,9,"(970.0, 553.0)","(1046.0, 587.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,0,10,"(970.0, 514.0)","(1042.0, 551.0)"
CMC_CCM_2018_01_31_00_51_58_55860841005.png,5,11,"(966.0, 468.0)","(1045.0, 513.0)"
